README | download CSV				
JobTitle_cleaned__	RoleMultichoice_composite	YearsDataVizExperience_4buckets	OrgSector_collapsed	OrgIndustry_collapsed
[suppressed]	Student	A: 2 or fewer years		
[suppressed]	Scientist	C: 6 to 10 years	Public sector (government)	
[suppressed]	Scientist	C: 6 to 10 years		Healthcare/medical
[suppressed]	Leadership	B: 3 to 5 years	Non-profit	
[suppressed]	Leadership	B: 3 to 5 years	Academia	
[suppressed]	Leadership	B: 3 to 5 years		2 or more
[suppressed]	Leadership	C: 6 to 10 years	Non-profit	
[suppressed]	Leadership	C: 6 to 10 years		Information technology
[suppressed]	Leadership	D: 11 or more years	Non-profit	
[suppressed]	Designer	A: 2 or fewer years	Public sector (government)	
[suppressed]	Designer	B: 3 to 5 years		Finance
[suppressed]	Designer	D: 11 or more years	2 or more	
[suppressed]	Designer	D: 11 or more years		
[suppressed]	Analyst	A: 2 or fewer years		Information technology
[suppressed]	Analyst	C: 6 to 10 years	Non-profit	Healthcare/medical
[suppressed]	Analyst	C: 6 to 10 years		Healthcare/medical
[suppressed]	Analyst	D: 11 or more years	Public sector (government)	2 or more
[suppressed]	Analyst			Consulting
[suppressed]		B: 3 to 5 years		
[suppressed]		C: 6 to 10 years	2 or more	2 or more
[suppressed]		D: 11 or more years		
Academic	Scientist	B: 3 to 5 years		
Academic Assessment and Accreditation Manager		A: 2 or fewer years	Academia	
Academic Data Specialist	Academic	B: 3 to 5 years		
Academic Technician	Engineer	C: 6 to 10 years	Academia	
Account Manager		C: 6 to 10 years		
Accounting Section Manager	Analyst	A: 2 or fewer years	Public sector (government)	
Adjunct Faculty	Academic	B: 3 to 5 years		
Adjunct Professor	Academic	C: 6 to 10 years		
Adviser	Student	B: 3 to 5 years	Public sector (government)	
Akademische Rätin	Academic	C: 6 to 10 years		
Algorithm Developer		A: 2 or fewer years		
Analyst	Scientist	B: 3 to 5 years	Private sector	
Analyst	Analyst	A: 2 or fewer years		Finance
Analyst	Analyst	A: 2 or fewer years		Consulting
Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Analyst	Analyst	B: 3 to 5 years	Academia	
Analyst	Analyst	B: 3 to 5 years	2 or more	
Analyst	Analyst	B: 3 to 5 years		Marketing
Analyst	Analyst	B: 3 to 5 years		Information technology
Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Analyst	Analyst	C: 6 to 10 years	Private sector	
Analyst	Analyst	C: 6 to 10 years	Non-profit	
Analyst	Analyst	C: 6 to 10 years		Information technology
Analyst	Analyst	C: 6 to 10 years		
Analyst	Academic	C: 6 to 10 years		
Analyst		A: 2 or fewer years		
Analyst		B: 3 to 5 years		
Analyst		C: 6 to 10 years		
Analyst Programmer	Developer	A: 2 or fewer years	Academia	
Analytics Analyst	Analyst	B: 3 to 5 years		
Analytics and Innovation Lead	Analyst	B: 3 to 5 years		Healthcare/medical
Analytics Consultant	Developer	A: 2 or fewer years		Consulting
Analytics Consultant	Analyst	B: 3 to 5 years		Information technology
Analytics Consultant	Analyst	B: 3 to 5 years		
Analytics Consultant	Analyst	D: 11 or more years		Information technology
Analytics Consultant		B: 3 to 5 years		
Analytics Developer	Designer	C: 6 to 10 years		Marketing
Analytics Engineer	Engineer	B: 3 to 5 years	Private sector	Information technology
Analytics Engineer	Engineer	B: 3 to 5 years		
Analytics Engineer	Analyst	B: 3 to 5 years		Information technology
Analytics Engineer	Analyst	B: 3 to 5 years		Finance
